ident, source, url, result
8195225,RTP,http://www.rtp.pt/noticias/pais/fogo-de-artificio-marcou-o-novo-ano-no-rio-mondego_v885078,Downloaded
8195226,RTP,http://www.rtp.pt/noticias/pais/serra-da-estrela-continua-sem-neve-mas-hoteis-estiveram-lotados-no-ano-novo_v885077,Downloaded
8195227,RTP,http://www.rtp.pt/noticias/pais/sinistralidade-rodoviaria-esta-a-aumentar_a885048,Downloaded
8195228,SAPO Desporto,http://desporto.sapo.pt/futebol/liga_inglesa/artigo/2016/01/01/van-gaal-se-esquecermos-dezembro-2015-foi-um-ano-muito-bom,Downloaded
8195229,Jornal de Notícias,http://www.jn.pt/paginainicial/pais/concelho.aspx?Distrito=Porto&Concelho=Porto&Option=Interior&content_id=4960524&page=-1,Downloaded
8195230,RTP,http://www.rtp.pt/noticias/pais/braga-vista-por-um-canudo-com-oito-mil-pessoas_v885079,Downloaded
8195231,Peopleware,http://pplware.sapo.pt/truques-dicas/as-4-melhores-aplicacoes-de-camara-para-o-seu-android/,Downloaded
8195232,Futebol 365,http://www.futebol365.pt/artigo/144885-mercado-atletico-pr-desiste-de-walter-e-devolve-o-ao-fc-porto/,Bad URL
8195233,SAPO Desporto,http://desporto.sapo.pt/jogos_olimpicos/brasil_2016/artigo/2016/01/01/tata-martino-nao-quer-messi-nos-jogos-olimpicos,Downloaded
8195234,SOL,http://www.SOL.pt/noticia/491917,Downloaded
8195235,O Jogo,http://www.ojogo.pt/Internacional/interior.aspx?content_id=4960529,Downloaded
8195236,Diário de Notícias,http://www.dn.pt/portugal/interior/ha-novas-regras-saiba-o-que-muda-na-atribuicao-da-pensao-4960532.html?page=-1,Downloaded
8195237,RTP,http://www.rtp.pt/noticias/pais/passagem-de-ano-em-beja-fez-se-na-praca-da-republica_v885081,Downloaded
8195238,RTP,http://www.rtp.pt/noticias/cultura/novo-acordo-ortografico-entra-hoje-em-vigor-no-brasil_n885042,Downloaded
8195239,RTP,http://www.rtp.pt/noticias/mundo/jornalista-francesa-expulsa-da-china-chegou-a-paris_n885041,Downloaded
8195240,RTP,http://www.rtp.pt/noticias/economia/novos-criterios-para-atribuicao-da-pensao-de-invalidez-entram-hoje-em-vigor_n885040,Downloaded
8195241,RTP,http://www.rtp.pt/noticias/mundo/capital-da-india-testa-circulacao-automovel-alternada-para-reduzir-poluicao_n885038,Downloaded
8195242,RTP,http://www.rtp.pt/noticias/pais/musicos-animam-festas-por-todo-o-pais_v885080,Downloaded
8195243,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805195,Downloaded
8195244,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805197,Downloaded
8195245,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805198,Downloaded
8195246,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805190,Downloaded
8195247,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805192,Downloaded
8195248,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805196,Downloaded
8195249,maisfutebol,http://www.maisfutebol.iol.pt/internacional/calendario/agenda-saiba-o-que-nao-pode-perder-em-2016,Downloaded
8195250,RTP,http://www.rtp.pt/noticias/pais/oito-barras-do-continente-e-uma-dos-acores-fechadas-devido-a-agitacao-maritima_n885075,Downloaded
8195251,RTP,http://www.rtp.pt/noticias/pais/sacos-de-plastico-nas-grandes-superficies-dos-acores-passam-a-ser-pagos-este-ano_n885063,Downloaded
8195252,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805199,Downloaded
8195253,TeK,http://tek.sapo.pt/extras/sugestoes/artigo/sugestao_tek_estes_sao_os_gadgets_aos_quais_deve_estar_atento_em_2016-45601wcd.html,Bad URL
8195254,SAPO Desporto,http://desporto.sapo.pt/mais_modalidades/artigo/2016/01/01/12-eventos-desportivos-a-nao-perder-em-2016,Bad URL
8195255,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805191,Downloaded
8195256,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805194,Downloaded
8195257,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805193,Downloaded
8195258,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805200,Downloaded
8195259,Diário Digital,http://diariodigital.sapo.pt/news.asp?id_news=805201,Downloaded
8195260,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/sociedade/detalhe/taxa_turistica_aplicada_a_quem_pernoita_em_lisboa.html,Downloaded
8195261,Jornal Record,http://www.record.xl.pt/internacional/paises/espanha/detalhe/augusto-fernandez-confirmado-no-atl-madrid.html,Downloaded
8195262,Activa,http://activa.sapo.pt/belezaesaude/gravidez/2016-01-01-Gravidas-tem-agora-uma-app-gratuita-com-tudo-o-que-precisam,Downloaded
8195263,O Jogo,http://www.ojogo.pt/Futebol/1a_liga/Benfica/interior.aspx?content_id=4960539,Downloaded
8195264,O Jogo,http://www.ojogo.pt/Futebol/1a_liga/Sporting/interior.aspx?content_id=4960535,Downloaded
8195265,Caras,http://caras.sapo.pt/Nas_Redes/2016-01-01-Rita-Pereira-passa-fim-de-ano-a-namorar,Downloaded
8195266,Caras,http://caras.sapo.pt/famosos/2016-01-01-Julia-Pinheiro-feliz-ao-lado-da-filha-Carolina,Downloaded
8195267,Caras,http://caras.sapo.pt/famosos/2016-01-01-Leonor-Seixas-mostra-se-feliz-O-meu-marido-e-uma-pessoa-muito-especial,Downloaded
8195268,Destak,http://www.destak.pt/artigo/252137-centenas-de-pessoas-no-primeiro-banho-do-ano-em-carcavelos,Downloaded
8195269,Peopleware,http://pplware.sapo.pt/jogos/hackers-ja-conseguem-correr-linux-na-playstation-4/,Downloaded
8195270,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/portugal/detalhe/agride_cunhado_a_sacholada.html,Downloaded
8195271,RTP,http://www.rtp.pt/noticias/economia/empresas-surpreendidas-com-alteracoes-no-iefp_a885088,Downloaded
